time,E,Q,L,state
0,0.1,0.5,0.95,CALM
1,0.1,0.5,0.95,CALM
2,0.1,0.5,0.95,CALM
3,0.1,0.5,0.95,CALM
4,0.1,0.5,0.95,CALM
5,0.1,0.5,0.95,CALM
6,0.1,0.5,0.95,CALM
7,0.1,0.5,0.95,CALM
8,0.1,0.5,0.95,CALM
9,0.1,0.5,0.95,CALM
10,0.1,0.5,0.95,CALM
11,0.1,0.5,0.95,CALM
12,0.1,0.5,0.95,CALM
13,0.1,0.5,0.95,CALM
14,0.1,0.5,0.95,CALM
15,0.1,0.5,0.95,CALM
16,0.1,0.5,0.95,CALM
17,0.1,0.5,0.95,CALM
18,0.1,0.5,0.95,CALM
19,0.1,0.5,0.95,CALM
20,0.1,0.5,0.95,CALM
21,0.4,0.8,0.75,WARM
22,0.4,0.8,0.75,HOT
23,0.4,0.8,0.75,HOT
24,0.4,0.8,0.75,HOT
25,0.4,0.8,0.75,HOT
26,0.4,0.8,0.75,HOT
27,0.4,0.8,0.75,HOT
28,0.4,0.8,0.75,HOT
29,0.4,0.8,0.75,HOT
30,0.4,0.8,0.75,HOT
31,0.4,0.8,0.75,HOT
32,0.4,0.8,0.75,HOT
33,0.4,0.8,0.75,HOT
34,0.4,0.8,0.75,HOT
35,0.4,0.8,0.75,HOT
36,0.4,0.8,0.75,HOT
37,0.4,0.8,0.75,HOT
38,0.4,0.8,0.75,HOT
39,0.4,0.8,0.75,HOT
40,0.1,0.5,0.95,WARM
41,0.1,0.5,0.95,WARM
42,0.1,0.5,0.95,WARM
43,0.1,0.5,0.95,WARM
44,0.1,0.5,0.95,WARM
45,0.1,0.5,0.95,WARM
46,0.1,0.5,0.95,WARM
47,0.1,0.5,0.95,WARM
48,0.1,0.5,0.95,WARM
49,0.1,0.5,0.95,WARM
50,0.1,0.5,0.95,WARM
51,0.1,0.5,0.95,WARM
52,0.1,0.5,0.95,WARM
53,0.1,0.5,0.95,WARM
54,0.1,0.5,0.95,WARM
55,0.1,0.5,0.95,WARM
56,0.1,0.5,0.95,WARM
57,0.1,0.5,0.95,CALM
58,0.1,0.5,0.95,CALM
59,0.1,0.5,0.95,CALM
60,0.1,0.5,0.95,CALM
61,0.65,0.99,0.5,EMERGENCY
62,0.65,0.99,0.5,EMERGENCY
63,0.65,0.99,0.5,EMERGENCY
64,0.65,0.99,0.5,EMERGENCY
65,0.65,0.99,0.5,EMERGENCY
66,0.65,0.99,0.5,EMERGENCY
67,0.65,0.99,0.5,EMERGENCY
68,0.65,0.99,0.5,EMERGENCY
69,0.65,0.99,0.5,EMERGENCY
70,0.1,0.5,0.95,HOT
71,0.1,0.5,0.95,HOT
72,0.1,0.5,0.95,HOT
73,0.1,0.5,0.95,HOT
74,0.1,0.5,0.95,HOT
75,0.1,0.5,0.95,HOT
76,0.1,0.5,0.95,HOT
77,0.1,0.5,0.95,WARM
78,0.1,0.5,0.95,WARM
79,0.1,0.5,0.95,WARM
80,0.1,0.5,0.95,WARM
81,0.1,0.5,0.95,WARM
82,0.1,0.5,0.95,WARM
83,0.1,0.5,0.95,WARM
84,0.1,0.5,0.95,WARM
85,0.1,0.5,0.95,WARM
86,0.1,0.5,0.95,WARM
87,0.1,0.5,0.95,WARM
88,0.1,0.5,0.95,WARM
89,0.1,0.5,0.95,WARM
90,0.1,0.5,0.95,WARM
91,0.1,0.5,0.95,WARM
92,0.1,0.5,0.95,WARM
93,0.1,0.5,0.95,WARM
94,0.1,0.5,0.95,CALM
95,0.1,0.5,0.95,CALM
96,0.1,0.5,0.95,CALM
97,0.1,0.5,0.95,CALM
98,0.1,0.5,0.95,CALM
99,0.1,0.5,0.95,CALM
100,0.1,0.5,0.95,CALM
101,0.1,0.5,0.95,CALM
102,0.1,0.5,0.95,CALM
103,0.1,0.5,0.95,CALM
104,0.1,0.5,0.95,CALM
105,0.1,0.5,0.95,CALM
106,0.1,0.5,0.95,CALM
107,0.1,0.5,0.95,CALM
108,0.1,0.5,0.95,CALM
109,0.1,0.5,0.95,CALM
110,0.1,0.5,0.95,CALM
111,0.1,0.5,0.95,CALM
112,0.1,0.5,0.95,CALM
113,0.1,0.5,0.95,CALM
114,0.1,0.5,0.95,CALM
115,0.1,0.5,0.95,CALM
116,0.1,0.5,0.95,CALM
117,0.1,0.5,0.95,CALM
118,0.1,0.5,0.95,CALM
119,0.1,0.5,0.95,CALM
